alt_text,brand,image_path,image_url,is_base64,link,price,title
Tênis Esportivo Masculino Caminhada E Atividades Físicas,LORENZZO LOPEZ,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$54,59",Tênis Esportivo Masculino Caminhada E Atividades Físicas
Tênis Fila Duality 2 Masculino,FILA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$183,14",Tênis Fila Duality 2 Masculino
Olympikus Only 2 Masculino Adultos 437119023012,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$152,99",Olympikus Only 2 Masculino Adultos 437119023012
Tenis Masculino Confortavel/academia/crossfit + Relógio,DM DAMANDO,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$69,65",Tenis Masculino Confortavel/academia/crossfit + Relógio
Tênis New Speed Esporte Masculino 100% Original Caminhada,NEW SPEED,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$175,76",Tênis New Speed Esporte Masculino 100% Original Caminhada
Tênis Masculino Grand Court Base 2.0 adidas,ADIDAS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$261,99",Tênis Masculino Grand Court Base 2.0 adidas
adidas Response Super Masculino Adultos,ADIDAS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$329,99",adidas Response Super Masculino Adultos
Tênis Asics Gel-outsider Masculino Original,ASICS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$569,99",Tênis Asics Gel-outsider Masculino Original
Olympikus Treino Proof 3 Masculino Adultos,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$196,24",Olympikus Treino Proof 3 Masculino Adultos
Tenis Masculino Unissex Botinha Corrida Academia Promoção,OLDSEN,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$69,90",Tenis Masculino Unissex Botinha Corrida Academia Promoção
Under Armour Pacer Masculino Adultos,UNDER ARMOUR,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$227,27",Under Armour Pacer Masculino Adultos
Tenis Polo Running Caminhada Masculino  Academia Super Leve,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$68,49",Tenis Polo Running Caminhada Masculino  Academia Super Leve
Olympikus Treino Venum Sem gênero Adultos,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$149,99",Olympikus Treino Venum Sem gênero Adultos
Tênis Corrida Duramo Speed 2 adidas,ADIDAS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$523,13",Tênis Corrida Duramo Speed 2 adidas
Tênis Fila Recovery Masculino Lançamento Esportivo Original,FILA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$327,90",Tênis Fila Recovery Masculino Lançamento Esportivo Original
Tênis New Speed R Esportivo Treino Corrida Lançamento,NEW SPEED,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$179,71",Tênis New Speed R Esportivo Treino Corrida Lançamento
Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$147,95",Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top
Tênis Masculino Olympikus Proof 3 Do 44/48 Tamanho Especial,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$238,90",Tênis Masculino Olympikus Proof 3 Do 44/48 Tamanho Especial
